# DraftRight Vietnamese bigram list — bootstrap next-word prediction.
# Format: prev<TAB>next<TAB>count. Lines starting with # are comments.
# Counts are relative weights (higher = more common), not corpus absolutes.
# Hand-curated common Vietnamese collocations (CC BY-SA frequency intuition);
# superseded by the downloadable 50k pack's own bigram file once shipped (#207).
# Successors need not appear in the unigram list — nextWord() returns them directly.
xin	chào	900
xin	lỗi	700
xin	phép	300
xin	cảm	200
cảm	ơn	950
không	có	800
không	được	600
không	phải	550
không	biết	500
không	sao	400
có	thể	820
có	phải	400
có	gì	380
có	người	200
rất	nhiều	600
rất	tốt	500
rất	đẹp	450
rất	vui	450
rất	mong	300
tôi	là	780
tôi	muốn	600
tôi	có	560
tôi	không	540
tôi	sẽ	480
tôi	cần	360
bạn	có	620
bạn	là	500
bạn	ơi	480
bạn	khỏe	420
của	tôi	720
của	bạn	560
của	mình	400
được	không	620
được	rồi	520
chào	bạn	560
chào	buổi	300
buổi	sáng	620
buổi	tối	560
buổi	chiều	420
buổi	trưa	360
một	chút	500
một	lần	460
một	người	440
một	ngày	420
một	cái	400
hôm	nay	780
hôm	qua	560
bây	giờ	720
tại	sao	680
như	thế	560
như	vậy	540
thế	nào	620
cái	gì	720
cái	này	560
cái	đó	480
người	ta	560
người	việt	300
việt	nam	900
đi	làm	560
đi	học	540
đi	chơi	460
đi	đâu	440
ăn	cơm	620
ăn	gì	480
uống	nước	560
yêu	em	620
yêu	anh	600
anh	yêu	560
em	yêu	560
chúc	mừng	620
chúc	ngủ	400
mừng	năm	560
năm	mới	760
ngủ	ngon	620
hẹn	gặp	680
gặp	lại	720
tạm	biệt	700
dạ	vâng	560
sinh	viên	620
sinh	nhật	560
học	sinh	600
học	tập	480
giáo	viên	620
điện	thoại	760
máy	tính	620
máy	bay	520
số	điện	480
cần	phải	560
muốn	đi	460
muốn	ăn	420
cảm	thấy	440
thấy	rất	300
mình	là	420
mình	có	400
